STATENAME;STATE;Population_SQKM;Population;LandArea
New Jersey;NJ;488;9288994;19047
Rhode Island;RI;410;1097379;2678
Massachusetts;MA;348;7029917;20202
Connecticut;CT;288;3605944;12541
Maryland;MD;246;6177224;25141
Delaware;DE;196;989948;5048
New York;NY;166;20201249;122056
Florida;FL;155;21538187;138888
Pennsylvania;PA;112;13002700;115884
Ohio;OH;111;11799448;105830
California;CA;98.0;39538223;403932
Illinois;IL;89.1;12812508;143794
Hawaii;HI;87.5;1455271;16636
Virginia;VA;84.4;8631393;102279
North Carolina;NC;82.9;10439388;125920
Indiana;IN;73.1;6785528;92789
Georgia;GA;71.9;10214860;148958
Michigan;MI;68.8;10077331;250493
South Carolina;SC;65.7;5118425;77858
Tennessee;TN;64.7;6910840;106798
New Hampshire;NH;59.4;1377529;23188
Washington;WA;44.8;7705281;172120
Kentucky;KY;44.1;4505836;102268
Texas;TX;43.1;29145505;676588
Wisconsin;WI;42.0;5893718;140269
Louisiana;LA;41.6;4657757;111898
Alabama;AL;38.3;5024279;131170
Missouri;MO;34.6;6154913;178041
West Virginia;WV;28.8;1793716;62258
Minnesota;MN;27.7;5706494;206233
Vermont;VT;26.9;643077;23872
Mississippi;MS;24.4;2961279;121530
Arizona;AZ;24.3;7151502;294207
Arkansas;AR;22.3;3011524;134770
Oklahoma;OK;22.3;3959353;177660
Iowa;IA;22.1;3190369;144669
Colorado;CO;21.5;5773714;268432
Maine;ME;17.1;1363359;79883
Oregon;OR;17.0;4237256;248608
Utah;UT;15.4;3271616;212819
Kansas;KS;13.9;2937880;211755
Nevada;NV;10.9;3104614;284332
Nebraska;NE;9.9;1961504;198973
Idaho;ID;8.6;1839106;214044
New Mexico;NM;6.7;2117522;314160
South Dakota;SD;4.5;886667;196350
North Dakota;ND;4.4;779094;178712
Montana;MT;2.9;1084225;376962
Wyoming;WY;2.3;576851;251470
Alaska;AK;0.5;733391;1477953
