STATE;Violent Crime Rate
AK;606.5
NM;567.5
TN;608.2
AR;480.9
AZ;405.9
LA;555.3
MO;447.4
SC;571.9
SD;354.1
MI;453.0
MT;267.5
NV;562.1
OK;454.8
AL;420.1
TX;408.5
CA;411.1
DE;559.5
IL;424.0
KS;353.9
CO;320.2
NC;349.8
GA;373.2
MD;494.1
PA;355.0
FL;515.3
NY;398.1
IN;331.8
WV;315.9
NE;253.2
ND;247.0
WI;236.9
OH;307.4
MA;428.4
IA;255.6
WA;294.6
OR;247.6
MS;269.8
MN;221.2
UT;195.0
KY;238.2
HI;287.2
ID;200.9
WY;219.3
RI;247.5
VA;196.7
NJ;308.4
CT;272.8
VT;135.2
PR;284.4
NH;188.0
ME;123.2
